[2025-05-05 11:34:53] This is codeql database index-files --working-dir=. --include-extension=.htm --include-extension=.html --include-extension=.xhtm --include-extension=.xhtml --include-extension=.vue --size-limit 10m --language html -- /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db
[2025-05-05 11:34:53] Log file was started late.
[2025-05-05 11:34:53] Using index-files script /Users/hohn/.local/share/gh/extensions/gh-codeql/dist/release/v2.21.0/html/tools/index-files.sh.
[2025-05-05 11:34:53] [PROGRESS] database index-files> Scanning for files in /Users/hohn/work-gh/mrva/mrvaserver...
[2025-05-05 11:34:53] Calling plumbing command: codeql resolve files --include-extension=.htm --include-extension=.html --include-extension=.xhtm --include-extension=.xhtml --include-extension=.vue --size-limit=10m /Users/hohn/work-gh/mrva/mrvaserver --format=json
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/render...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/diagnostic...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/diagnostic/tracer...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/diagnostic/extractors...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/diagnostic/extractors/go...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5...
[2025-05-05 11:34:53] [PROGRESS] resolve files> Scanning /Users/hohn/work-gh/mrva/mrvaserver/graphs/go-codeql.db/working/copy-root/000001F5/usr...
